lsoa21cd,lsoa21nm
E01003345,Lewisham 010E
E01003353,Lewisham 030E
E01003257,Lewisham 028B
E01003222,Lewisham 022D
E01003211,Lewisham 008B
E01003210,Lewisham 005C
E01032579,Lewisham 039E
E01034392,Lewisham 040A
E01003204,Lewisham 007C
E01003239,Lewisham 037D
E01003241,Lewisham 038C
E01003274,Lewisham 014B
E01003280,Lewisham 016A
E01003286,Lewisham 013D
E01003287,Lewisham 016D
E01003310,Lewisham 027B
E01003330,Lewisham 033B
E01003350,Lewisham 030C
E01003352,Lewisham 030D
E01003251,Lewisham 002C
E01003230,Lewisham 019E
E01003229,Lewisham 019D
E01032565,Lewisham 038E
E01034390,Lewisham 020F
E01034391,Lewisham 020G
E01003194,Lewisham 029B
E01003201,Lewisham 007B
E01003223,Lewisham 025D
E01003232,Lewisham 015C
E01003236,Lewisham 037A
E01003268,Lewisham 023B
E01003269,Lewisham 023C
E01003275,Lewisham 014C
E01003282,Lewisham 013A
E01003320,Lewisham 018B
E01003325,Lewisham 018D
E01003255,Lewisham 021B
E01003198,Lewisham 009A
E01003202,Lewisham 009C
E01003225,Lewisham 015A
E01003227,Lewisham 019B
E01003277,Lewisham 011B
E01003284,Lewisham 013C
E01003342,Lewisham 010C
E01003256,Lewisham 028A
E01003243,Lewisham 038D
E01003190,Lewisham 034B
E01003191,Lewisham 034C
E01003221,Lewisham 025C
E01003233,Lewisham 015D
E01003247,Lewisham 001C
E01003265,Lewisham 031B
E01003270,Lewisham 023D
E01003331,Lewisham 033C
E01003332,Lewisham 033D
E01003348,Lewisham 030B
E01033324,Lewisham 008E
E01003217,Lewisham 022A
E01003246,Lewisham 002A
E01003260,Lewisham 021C
E01003263,Lewisham 023A
E01003267,Lewisham 031D
E01003271,Lewisham 023E
E01003281,Lewisham 016B
E01003291,Lewisham 041D
E01003295,Lewisham 017D
E01003301,Lewisham 003C
E01003334,Lewisham 033E
E01003351,Lewisham 026C
E01003219,Lewisham 025B
E01003226,Lewisham 019A
E01003264,Lewisham 031A
E01003285,Lewisham 016C
E01003354,Lewisham 026D
E01003212,Lewisham 005D
E01003303,Lewisham 039C
E01003196,Lewisham 029D
E01003213,Lewisham 008C
E01003235,Lewisham 038A
E01003297,Lewisham 003A
E01003193,Lewisham 029A
E01003292,Lewisham 017A
E01003318,Lewisham 020B
E01033327,Lewisham 041B
E01003237,Lewisham 037B
E01003254,Lewisham 021A
E01003276,Lewisham 014D
E01003248,Lewisham 002B
E01003199,Lewisham 007A
E01003200,Lewisham 009B
E01003240,Lewisham 038B
E01003346,Lewisham 026A
E01003192,Lewisham 034D
E01003174,Lambeth 024C
E01003175,Lambeth 024D
E01003176,Lambeth 016E
E01003177,Lambeth 020D
E01003178,Lambeth 020E
E01003179,Lambeth 024E
E01003181,Lambeth 007A
E01003184,Lambeth 007B
E01003185,Lambeth 007C
E01003188,Lambeth 009E
E01003161,Lambeth 023E
E01003136,Lambeth 022A
E01003135,Lambeth 026C
E01003129,Lambeth 004E
E01003128,Lambeth 008E
E01003127,Lambeth 010E
E01003126,Lambeth 008D
E01003125,Lambeth 006E
E01003124,Lambeth 006D
